Datetime,PM_17,AOD_17,Temp_17,Humi_17,PM_12,AOD_12,Temp_12,Humi_12,PM_15,AOD_15,Temp_15,Humi_15
2013-04-26,3.333333333,0.178534306,61.708333,62,2.75,0.13978831,58.208333,62,2.777777778,0.186738097,61.166667,47.73913
2013-04-27,5.25,0.178534306,62.083333,49.75,3.217391304,0.190336837,58.125,49.75,3.458333333,0.186738097,61.75,45.791667
2013-04-28,4.739130435,0.178534306,62.75,42.541667,4.208333333,0.206876743,57.75,42.541667,5.652173913,0.25402827,63.041667,46.458333
2013-04-29,6.375,0.178534306,62.583333,40.25,4.708333333,0.206876743,57.541667,40.25,6.208333333,0.4079499,63.583333,48.583333
2013-04-30,9.166666667,0.178534306,64.666667,37.625,6.5,0.140482626,58.75,37.625,8.041666667,0.135448829,66.208333,50.041667
2013-05-01,3.833333333,0.178534306,63.041667,61,3.470588235,0.206876743,59.5,61,8,0.186738097,60.875,56.5
2013-05-02,2.95,0.178534306,65.375,76.541667,1.647058824,0.206876743,60.125,76.541667,1.888888889,0.186738097,61.291667,58.666667
2013-05-03,3.652173913,0.178534306,68.916667,70.833333,2.608695652,0.206876743,64,70.833333,2.454545455,0.186738097,66.041667,59.318182
2013-05-04,2.142857143,0.178534306,72.583333,59.083333,1.421052632,0.206876743,66.458333,59.083333,1.9,0.41415897,71.708333,61
2013-05-05,3.523809524,0.178534306,76.541667,45.333333,2.761904762,0.059243354,67.458333,45.333333,3.571428571,0.199456764,77.833333,57.833333
2013-05-06,6.458333333,0.178534306,77.875,29.916667,4.625,0.065600504,65.041667,29.916667,5.15,0.097095845,81.625,58.541667
2013-05-07,7.125,0.178534306,76.458333,25.25,6.916666667,0.206876743,65.75,25.25,6.05,0.186738097,81.458333,56.458333
2013-05-08,8.708333333,0.230374949,71.791667,31.375,8.375,0.300098605,62.5,31.375,8.75,0.244124436,76.958333,58.041667
2013-05-09,8.416666667,0.259903193,71.458333,24.5625,6.541666667,0.97075883,62.375,24.5625,7.041666667,0.401568028,74.125,58.291667
2013-05-10,10.08333333,0.150184653,71.375,41.708333,5.318181818,0.440856734,61,41.708333,7.333333333,0.388003942,71.125,60.458333
2013-05-11,8.913043478,0.286327916,71.583333,39.958333,7.041666667,0.284165207,62.375,39.958333,7.217391304,0.295633167,71.958333,59
2013-05-12,7.833333333,0.466367571,69.916667,40.833333,4,0.259101541,62.25,40.833333,5.818181818,0.239418542,70.333333,59.333333
2013-05-13,19.70833333,0.178534306,62.26087,55.833333,16.95833333,0.367683733,57.791667,55.833333,21.16666667,0.165855226,60.291667,52.416667
2013-05-14,12.16666667,0.178534306,62.25,61.458333,7.375,0.249098147,57.291667,61.458333,8.333333333,0.186738097,59.208333,52.208333
2013-05-15,9.25,0.178534306,63.583333,53.125,6.083333333,0.278179741,58.416667,53.125,7.75,0.174519909,60.666667,52.782609
2013-05-16,6.958333333,0.178534306,65.166667,42.666667,5.333333333,0.184148163,58.958333,42.666667,6.826086957,0.114403071,63.708333,54.166667
2013-05-17,8.434782609,0.178534306,68.208333,30.416667,6.666666667,0.143977482,59.166667,30.416667,7.304347826,0.106847526,67.375,56.5
2013-05-18,6.125,0.178534306,63.75,47.375,2.428571429,0.373192146,57.458333,47.375,6.166666667,0.350563454,62.208333,55.583333
2013-05-19,5.541666667,0.178534306,60.875,58.583333,2.954545455,0.206876743,56.25,58.583333,6.125,0.202770285,58.416667,53.583333
2013-05-20,10.33333333,0.178534306,62.625,46.208333,7.583333333,0.443111538,57.416667,46.208333,9,0.221948776,60.875,52.208333
2013-05-21,8.875,0.178534306,64.166667,37.666667,8,0.135589771,57.541667,37.666667,7.583333333,0.186738097,62.791667,52
2013-05-22,11,0.178534306,63.375,38.75,8.375,0.155706387,56.791667,38.75,9.833333333,0.096550651,61,54.5
2013-05-23,6.958333333,0.178534306,60.5,63.333333,5.416666667,0.435575539,56.416667,63.333333,5.739130435,0.186738097,57.75,53.083333
2013-05-24,4.875,0.178534306,62.625,62.166667,1.3,0.208162595,59.166667,62.166667,3.19047619,0.186738097,60.333333,52.416667
2013-05-25,5.260869565,0.178534306,63.041667,57,5.045454545,0.331263973,60.125,57,6.333333333,0.256583729,64.541667,54.166667
2013-05-26,7.166666667,0.178534306,62.625,45.291667,5.695652174,0.23248791,56.708333,45.291667,9.541666667,0.095126721,62.916667,54.083333
2013-05-27,10,0.178534306,61.25,45.125,5.608695652,0.278743281,55.291667,45.125,8.291666667,0.163164809,60.166667,54.875
2013-05-28,11.375,0.293474332,60.583333,58.291667,7.791666667,0.571944478,55.208333,58.291667,9.666666667,0.293634484,58.541667,54.791667
2013-05-29,13.08333333,0.205122476,64.291667,48.708333,8.25,0.188392265,56.5,48.708333,7.916666667,0.231302742,61.25,53.833333
