Datetime,PM_88,AOD_88,Temp_88,Humi_88,PM_96,AOD_96,Temp_96,Humi_96,PM_76,AOD_76,Temp_76,Humi_76,PM_88_r1,AOD_88_r1,Temp_88_r1,Humi_88_r1,PM_88_r2,AOD_88_r2,Temp_88_r2,Humi_88_r2,PM_88_r3,AOD_88_r3,Temp_88_r3,Humi_88_r3
2013-05-15,14.04166667,0.436205749,74.625,64.625,22.08333333,0.609622758,75.625,60.791667,16.85625,0.828314079,65.716667,70.583333,14.04166667,0.436205749,74.625,64.625,14.04166667,0.436205749,74.625,64.625,14.04166667,0.436205749,74.625,64.625
2013-05-16,13.99047619,0.330124527,77.908333,55.791667,23.125,0.386498688,80.008333,51.5,15.51666667,0.595498508,67.366667,62.958333,13.99047619,0.330124527,77.908333,55.791667,13.99047619,0.330124527,77.908333,55.791667,13.99047619,0.330124527,77.908333,55.791667
2013-05-17,10.61538462,0.357060476,78.9125,53.75,23.53333333,0.48078525,82.245833,43.916667,13.70416667,0.465306886,66.395652,68.478261,10.61538462,0.357060476,78.9125,53.75,10.61538462,0.357060476,78.9125,53.75,10.61538462,0.357060476,78.9125,53.75
2013-05-18,18.66666667,0.265765455,75.983333,61,21.16666667,0.40778415,76.3,52.75,14.58333333,0.562811062,64.96087,76.73913,18.66666667,0.265765455,75.983333,61,18.66666667,0.265765455,75.983333,61,18.66666667,0.265765455,75.983333,61
2013-05-19,11.45833333,0.265765455,73.891667,70.625,19.45833333,0.40778415,73.220833,65.125,13.1375,0.562811062,64.6,79.583333,11.45833333,0.265765455,73.891667,70.625,11.45833333,0.265765455,73.891667,70.625,11.45833333,0.265765455,73.891667,70.625
2013-05-20,7.8875,0.367291039,74.491667,67.375,20.58333333,0.445069933,76.0625,61.666667,9.910416667,0.689998857,66.133333,71.75,7.8875,0.367291039,74.491667,67.375,7.8875,0.367291039,74.491667,67.375,7.8875,0.367291039,74.491667,67.375
2013-05-21,11.41666667,0.282317771,73.775,63.041667,23.58333333,0.434061435,75.95,54.541667,17.70833333,0.516414494,65.1625,70.25,11.41666667,0.282317771,73.775,63.041667,11.41666667,0.282317771,73.775,63.041667,11.41666667,0.282317771,73.775,63.041667
2013-05-22,13.79166667,0.395974235,75.4625,60,23.83333333,0.65233047,77.454167,53.416667,13.16666667,0.345271323,67.534783,67.086957,13.79166667,0.395974235,75.4625,60,13.79166667,0.395974235,75.4625,60,13.79166667,0.395974235,75.4625,60
2013-05-23,13.54166667,0.220684849,75.875,55.333333,22.58333333,0.331833054,76.920833,49.25,14.80833333,0.434145607,67.605263,64.421053,13.54166667,0.220684849,75.875,55.333333,13.54166667,0.220684849,75.875,55.333333,13.54166667,0.220684849,75.875,55.333333
2013-05-24,9.263636364,0.19643768,74.558333,44.25,17.66666667,0.301979356,75,40.291667,11.4,0.634888197,66.06087,60.478261,9.263636364,0.19643768,74.558333,44.25,9.263636364,0.19643768,74.558333,44.25,9.263636364,0.19643768,74.558333,44.25
