Datetime,PM_20,AOD_20,Temp_20,Humi_20,PM_27,AOD_27,Temp_27,Humi_27,PM_15,AOD_15,Temp_15,Humi_15,PM_30,AOD_30,Temp_30,Humi_30,PM_9,AOD_9,Temp_9,Humi_9,PM_12,AOD_12,Temp_12,Humi_12
2013-04-26,4.979166667,0.214448134,64,47.73913,3.208333333,0.075755279,63.541667,55.666667,2.777777778,0.186738097,61.166667,47.73913,2.833333333,0.095908304,66.25,55.666667,5.041666667,0.3936478,62,47.73913,2.75,0.13978831,58.208333,62
2013-04-27,5.976744186,0.214448134,65.695652,45.791667,2.375,0.076483035,64.5,46.791667,3.458333333,0.186738097,61.75,45.791667,2.875,0.172160685,67,46.791667,5,0.508906972,61.958333,45.791667,3.217391304,0.190336837,58.125,49.75
2013-04-28,5.229166667,0.213724214,68.541667,46.458333,1.833333333,0.162795982,67.333333,46.708333,5.652173913,0.25402827,63.041667,46.458333,3.208333333,0.227581607,67.888889,46.708333,6.227272727,0.598714856,63.75,46.458333,4.208333333,0.206876743,57.75,42.541667
2013-04-29,4.645833333,0.214448134,71.875,48.583333,2.666666667,0.162795982,70.458333,42.75,6.208333333,0.4079499,63.583333,48.583333,4.25,0.296271492,73.333333,42.75,8.125,0.567279485,64.083333,48.583333,4.708333333,0.206876743,57.541667,40.25
2013-04-30,5.4375,0.214448134,75.083333,50.041667,3.041666667,0.162795982,73.083333,41.291667,8.041666667,0.135448829,66.208333,50.041667,5.5,0.109494891,77.041667,41.291667,10.79166667,0.357335779,66.708333,50.041667,6.5,0.140482626,58.75,37.625
2013-05-01,4.083333333,0.214448134,67.291667,56.5,2.875,0.353580461,65.166667,68.666667,8,0.186738097,60.875,56.5,2.333333333,0.208335426,69.875,68.666667,5.125,0.51030003,64.708333,56.5,3.470588235,0.206876743,59.5,61
2013-05-02,5.574468085,0.214448134,65.458333,58.666667,1.333333333,0.162795982,62.541667,82.75,1.888888889,0.186738097,61.291667,58.666667,3.75,0.208335426,68.041667,82.75,4.583333333,0.51030003,64.25,58.666667,1.647058824,0.206876743,60.125,76.541667
2013-05-03,12.14583333,0.423566388,71.5,59.318182,4.041666667,0.162795982,67.25,83.166667,2.454545455,0.186738097,66.041667,59.318182,9.541666667,0.631041453,74.583333,83.166667,5.304347826,0.51030003,68.909091,59.318182,2.608695652,0.206876743,64,70.833333
2013-05-04,5.791666667,0.214448134,74.625,61,2.041666667,0.162795982,72.916667,65.916667,1.9,0.41415897,71.708333,61,3.708333333,0.327903926,77,65.916667,6.75,0.774472609,71.863636,61,1.421052632,0.206876743,66.458333,59.083333
2013-05-05,6.416666667,0.214448134,79.541667,57.833333,2.523809524,0.162795982,77.291667,53.958333,3.571428571,0.199456764,77.833333,57.833333,3.541666667,0.072441067,81.25,53.958333,3.52173913,0.461094407,73.166667,57.833333,2.761904762,0.059243354,67.458333,45.333333
2013-05-06,6.208333333,0.214448134,86.458333,58.541667,4.416666667,0.092138669,83.583333,44.208333,5.15,0.097095845,81.625,58.541667,6.043478261,0.077689201,87.333333,44.208333,5.208333333,0.320800802,77.125,58.541667,4.625,0.065600504,65.041667,29.916667
2013-05-07,6.166666667,0.125705607,88.875,56.458333,4.125,0.060859951,85.833333,37.208333,6.05,0.186738097,81.458333,56.458333,8.375,0.081906175,89.583333,37.208333,7.75,0.251289831,79.041667,56.458333,6.916666667,0.206876743,65.75,25.25
2013-05-08,6.645833333,0.214448134,87.5,58.041667,6,0.14461717,84.208333,38.458333,8.75,0.244124436,76.958333,58.041667,8.75,0.294114713,88.916667,38.458333,9.52173913,0.652845863,73.791667,58.041667,8.375,0.300098605,62.5,31.375
2013-05-09,7.354166667,0.521548003,86.583333,58.291667,5.333333333,0.303016502,83.958333,40.458333,7.041666667,0.401568028,74.125,58.291667,8.875,0.790684908,88.333333,40.458333,8.782608696,0.817723194,75.208333,58.291667,6.541666667,0.97075883,62.375,24.5625
2013-05-10,10.64583333,0.528820985,86.791667,60.458333,7.291666667,0.488481973,83.458333,40.458333,7.333333333,0.388003942,71.125,60.458333,12.125,0.579595909,90,40.458333,11.66666667,0.615477174,74.5,60.458333,5.318181818,0.440856734,61,41.708333
2013-05-11,12.47916667,0.443111538,83.708333,59,6.041666667,0.236531221,81.791667,45.583333,7.217391304,0.295633167,71.958333,59,11.34782609,0.444921254,86.666667,45.583333,11,0.453897902,73.583333,59,7.041666667,0.284165207,62.375,39.958333
2013-05-12,12.35416667,0.311192961,89.75,59.333333,7.541666667,0.252995766,85.166667,40.916667,5.818181818,0.239418542,70.333333,59.333333,13.41666667,0.388180866,90.791667,40.916667,12.95833333,0.593863033,76.458333,59.333333,4,0.259101541,62.25,40.833333
2013-05-13,11.84444444,0.214448134,75.041667,52.416667,10.29166667,0.074657801,71.708333,44,21.16666667,0.165855226,60.291667,52.416667,14.875,0.160271458,79.666667,44,20.54166667,0.697204534,65.333333,52.416667,16.95833333,0.367683733,57.791667,55.833333
