Datetime,PM_96,AOD_96,Temp_96,Humi_96,PM_88,AOD_88,Temp_88,Humi_88,PM_111,AOD_111,Temp_111,Humi_111,PM_76,AOD_76,Temp_76,Humi_76,PM_110,AOD_110,Temp_110,Humi_110,PM_96_r1,AOD_96_r1,Temp_96_r1,Humi_96_r1
2013-04-26,22.39166667,0.245166103,70.145833,58.541667,12.56666667,0.258175195,71.0125,61.125,11.41666667,0.144434529,61.666667,48.333333,13.88888889,0.408613034,62.9,68.086957,9.8375,0.085684111,69.654167,56.041667,22.39166667,0.245166103,70.145833,58.541667
2013-04-27,18.45454545,0.255945928,68.329167,58.583333,11.125,0.255648043,70.520833,55.291667,8.066666667,0.135542799,60.445833,51.583333,14.86875,0.191305837,63.3,65,8.6625,0.103853893,67.8375,65.875,18.45454545,0.255945928,68.329167,58.583333
2013-04-28,17.5875,0.415919297,70.55,50.875,9.625,0.258016249,72.525,49.416667,12.41304348,0.092138669,60.091667,52.291667,14.025,0.562811062,63.891667,65.25,10.15,0.193905929,70.220833,52.541667,17.5875,0.415919297,70.55,50.875
2013-04-29,16.89583333,0.493623153,70.595833,49.458333,9.795833333,0.159944187,72.5125,50.875,10.36666667,0.125511262,60.566667,48.916667,16.33541667,0.888019746,63.6875,68.875,7.245833333,0.199812949,69.816667,48.083333,16.89583333,0.493623153,70.595833,49.458333
2013-04-30,22.41666667,0.468973927,69.620833,59.625,13.25,0.202888186,70.841667,60.583333,10.04166667,0.129612953,61.7625,52.208333,15.79166667,0.523202525,63,68.363636,10.67083333,0.193905929,68.608333,57.458333,22.41666667,0.468973927,69.620833,59.625
2013-05-01,22.66666667,0.5187507,65.041667,69.375,15.20833333,0.30729663,68.166667,67.041667,13.04166667,0.196118554,58.716667,60.708333,17.13958333,0.551895013,61.641667,68.291667,10.45,0.218538544,63.8625,76,22.66666667,0.5187507,65.041667,69.375
2013-05-02,18.75,0.40778415,63.725,71.041667,10.15833333,0.478530077,67.25,68.708333,10.35,0.287170765,55.895833,80.458333,11.17916667,0.50592169,62.214286,68.619048,8.658333333,0.193905929,64.1875,76.291667,18.75,0.40778415,63.725,71.041667
2013-05-03,17.9625,0.530917242,68.770833,66.625,8.086956522,0.431870234,69.8625,68.125,9,0.13825541,63.029167,71.625,7.4125,0.562811062,63.233333,73.041667,5.634782609,0.193905929,70.354167,68.416667,17.9625,0.530917242,68.770833,66.625
2013-05-04,22.825,0.32253106,78.218182,54.590909,8.476190476,0.113032216,77.033333,57.958333,9.825,0.112726584,71.479167,48.791667,8.589583333,0.717571708,66.48,67.95,7.916666667,0.193905929,78.145455,54.590909,22.825,0.32253106,78.218182,54.590909
2013-05-05,20.45833333,0.399037638,82.2125,48.666667,8.708333333,0.113286631,80.6625,53.291667,5.865,0.098398811,73.9125,40.166667,10.78409091,0.489120936,66.152174,72.304348,9.981818182,0.193905929,81.995833,43.708333,20.45833333,0.399037638,82.2125,48.666667
