Datetime,PM_70,AOD_70,Temp_70,Humi_70
2013-04-26,9.666666667,0.171526313,68.208333,62.916667
2013-04-27,6.291666667,0.135871451,71.041667,46.291667
2013-04-28,7.583333333,0.21975376,70.5,45.041667
2013-04-29,8.458333333,0.231710442,70.375,43.583333
2013-04-30,11.70833333,0.286934881,69.666667,56.25
2013-05-01,13.33333333,0.346155829,64.791667,79.75
2013-05-02,8.333333333,0.310235403,64.416667,87.5
2013-05-03,7.958333333,0.334813658,68.583333,76.958333
2013-05-04,7.681818182,0.256424346,76.916667,57.5
2013-05-05,8.375,0.324707258,80.833333,50.5
2013-05-06,7.491666667,0.305118894,81.333333,45.375
2013-05-07,9.208333333,0.394614226,84.791667,38.75
2013-05-08,14.83333333,0.82812438,85.291667,36.458333
2013-05-09,9.9375,0.636381347,82.291667,44.625
2013-05-10,10.2,0.799699722,77.666667,59.208333
2013-05-11,9.083333333,0.757056072,74.583333,67.208333
2013-05-12,7.958333333,0.363232352,73.791667,68.791667
2013-05-13,17.5,0.601340722,70.708333,77.416667
2013-05-14,9.083333333,0.358848286,70.958333,78.916667
2013-05-15,11.91666667,0.494696227,71.25,70.333333
2013-05-16,9.375,0.182689531,76.541667,49.375
2013-05-17,9,0.350193229,79.708333,38.5
2013-05-18,12.35833333,0.310235403,75.666667,52.458333
2013-05-19,13.16666667,0.310235403,73.291667,65.125
2013-05-20,9.75,0.32225257,72.916667,72.416667
2013-05-21,9.625,0.314809081,73.166667,59.166667
2013-05-22,10.75416667,0.435155194,76.375,51.333333
2013-05-23,11.70833333,0.189678066,73.375,50.666667
2013-05-24,6.458333333,0.253601248,71.833333,43.833333
2013-05-25,5.476190476,0.246941113,73.5,33.625
2013-05-26,6.782608696,0.494139952,73.166667,43.125
2013-05-27,10.04166667,0.507729506,72.541667,49.125
2013-05-28,16.05416667,0.568557495,71.75,72.041667
2013-05-29,16.025,0.310235403,71.958333,73.291667
2013-05-30,11.45833333,0.483156159,72.75,73.083333
2013-05-31,7.583333333,0.541977712,71.625,70.166667
2013-06-01,6.266666667,0.473087589,70.708333,67.791667
2013-06-02,6.875,0.271776766,70.875,70.041667
2013-06-03,9.625,0.310235403,70.875,72.291667
2013-06-04,10.375,0.332969922,71.541667,67.791667
2013-06-05,9.9,0.348153916,66.416667,82.958333
2013-06-06,8.8375,0.417505048,68.041667,72.75
2013-06-07,5.004166667,0.123364617,66.333333,77.041667
2013-06-08,9.4625,0.289961193,63.75,82.416667
2013-06-09,11.25,0.337076727,65.791667,73.708333
2013-06-10,13.16666667,0.674470983,68.166667,69.916667
2013-06-11,15.04166667,0.329649241,67,77.166667
2013-06-12,12.04166667,0.29071559,67,73.083333
2013-06-13,9.629166667,0.172456362,69,60.708333
2013-06-14,8.816666667,0.270097598,65.416667,73.875
2013-06-15,8.1875,0.148835259,66,71.416667
2013-06-16,6.380952381,0.381343429,67.666667,65.958333
2013-06-17,7.5,0.292672977,66.916667,69.916667
2013-06-18,12.29166667,0.283945148,66.708333,72.708333
2013-06-19,11.20833333,0.29278433,67.75,72.541667
2013-06-20,12.66666667,0.191426808,69.375,71.333333
2013-06-21,16.25,0.286074852,71.75,66.666667
2013-06-22,15.16666667,0.301336525,74.833333,58.541667
2013-06-23,16.125,0.275158697,75.375,61.875
2013-06-24,8.25,0.209326649,77.25,50.416667
2013-06-25,10.45833333,0.217053452,76.125,38.5
2013-06-26,9.25,0.323442594,73.708333,51.416667
2013-06-27,17.5,0.414502703,70.666667,77.333333
2013-06-28,10.95454545,0.166027031,69.541667,74.5
2013-06-29,8.913043478,0.155624332,72.666667,58.875
2013-06-30,4.772727273,0.256211771,75.291667,44.25
2013-07-01,4.166666667,0.255520333,74.708333,39.083333
2013-07-02,7.458333333,0.304593891,73.833333,36.083333
2013-07-03,8,0.265754765,75.541667,30.125
2013-07-04,5.5,0.335875309,78.541667,27.166667
2013-07-05,5.875,0.23981747,80.291667,35.375
2013-07-06,5.379166667,0.26208238,80.708333,34.375
2013-07-07,1.333333333,0.222514892,83.375,27
2013-07-08,4.675,0.272826382,85.458333,36.458333
2013-07-09,4.208333333,0.28216498,81.875,58.833333
