Datetime,PM_21,AOD_21,Temp_21,Humi_21
2013-04-26,2.263157895,0.107863149,69.125,51.25
2013-04-27,2.454545455,0.166884864,70,41.875
2013-04-28,3.944444444,0.185335932,74,40.375
2013-04-29,2.695652174,0.287642279,77,37.833333
2013-04-30,3.75,0.173702524,79.875,36.458333
2013-05-01,3.52173913,0.173702524,69.041667,62.458333
2013-05-02,2.476190476,0.173702524,66.666667,77.833333
2013-05-03,3.904761905,0.173702524,71.458333,80.333333
2013-05-04,1.952380952,0.302226439,78.875,57.541667
2013-05-05,3.428571429,0.217396565,83.708333,46.041667
2013-05-06,4.47826087,0.081847455,91.125,37.5
2013-05-07,4.782608696,0.07756896,93.041667,32.041667
2013-05-08,6.565217391,0.137836039,91.875,33.5
2013-05-09,6.5,0.308423758,90.458333,35.791667
2013-05-10,9.166666667,0.576481347,89.458333,37.625
2013-05-11,9.791666667,0.272050429,90.833333,36.458333
2013-05-12,9.666666667,0.193092771,92.916667,35.5
2013-05-13,12.39130435,0.13539244,76.375,42.166667
2013-05-14,12.79166667,0.124391198,75.458333,47.666667
2013-05-15,9.666666667,0.155750563,78.583333,40.875
2013-05-16,4.5,0.069058304,78.875,37.625
2013-05-17,6.909090909,0.073553131,85.916667,33.25
2013-05-18,5.75,0.07299804,81.458333,36.083333
2013-05-19,2.636363636,0.158697833,74.043478,45.26087
2013-05-20,9.5,0.192272658,74.541667,47.958333
2013-05-21,7.708333333,0.079720916,79.166667,39.541667
2013-05-22,7.956521739,0.106126193,79.25,38.083333
2013-05-23,4.25,0.069942243,71.041667,50.25
2013-05-24,3.095238095,0.196357955,67.708333,58.25
2013-05-25,3.708333333,0.12831637,75.041667,49.083333
2013-05-26,5.454545455,0.210835638,80.5,41.041667
2013-05-27,8.166666667,0.157723977,82.625,39.958333
2013-05-28,12.54166667,0.41530427,82.291667,41.333333
2013-05-29,9.375,0.199139923,80.166667,40.375
2013-05-30,7.25,0.173702524,81.041667,36.208333
2013-05-31,4.625,0.685237669,81.416667,33.833333
2013-06-01,2.913043478,0.115766691,83.791667,38.5
2013-06-02,5.333333333,0.277820853,82.958333,39.291667
2013-06-03,5.291666667,0.089919909,78.333333,45.625
2013-06-04,6,0.117423749,75.833333,49.791667
2013-06-05,4.791666667,0.389771545,73.541667,52.708333
2013-06-06,23.91304348,0.308472719,68.541667,56.875
2013-06-07,17.39130435,0.233219887,73.166667,51.958333
2013-06-08,15.54166667,0.091804022,72.458333,50.458333
2013-06-09,5.375,0.173702524,72.333333,50
2013-06-10,9.958333333,0.246941116,76.944444,43.388889
2013-06-11,9.333333333,0.173702524,75.75,45.625
2013-06-12,10.45833333,0.06085995,72.708333,50.416667
2013-06-13,5.916666667,0.063249895,72.454545,77
2013-06-14,11.75,0.370532765,69.521739,66.25
2013-06-15,3.772727273,0.221041666,68.666667,55.4
2013-06-16,3.391304348,0.294474665,71.347826,55.086957
2013-06-17,5.913043478,0.257503777,69.708333,57.875
2013-06-18,5.791666667,0.190336841,72.166667,56.25
2013-06-19,5.391304348,0.179528598,75.666667,51.833333
2013-06-20,6.583333333,0.151394528,76.208333,46.083333
2013-06-21,9.041666667,0.383391434,80.208333,38.625
2013-06-22,9.625,0.173702524,80.375,40.125
2013-06-23,4.916666667,0.109494891,80.416667,50.625
2013-06-24,3.869565217,0.173702524,82.25,47.541667
2013-06-25,6.958333333,0.35536068,80.625,43.708333
2013-06-26,7.625,0.636381353,85.833333,41.708333
2013-06-27,22,0.504859242,87.583333,42.041667
2013-06-28,10.83333333,0.247661048,80.583333,46.458333
2013-06-29,5.708333333,0.124342398,75.833333,46.25
2013-06-30,3.47826087,0.165597376,72.416667,50.083333
2013-07-01,6,0.115615533,74.166667,50.708333
2013-07-02,5.260869565,0.309011097,74.75,50.083333
2013-07-03,1.952380952,0.173702524,75.375,57.333333
2013-07-04,2.761904762,0.07756896,74.833333,51.541667
2013-07-05,3.956521739,0.058632088,77.75,44.791667
2013-07-06,3.52173913,0.173702524,77.791667,51.25
2013-07-07,3.333333333,0.212108756,78.375,53.666667
2013-07-08,3.4,0.173702524,82.458333,45.833333
2013-07-09,4.090909091,0.132616272,80.291667,40.833333
