Datetime,PM_100,AOD_100,Temp_100,Humi_100,PM_111,AOD_111,Temp_111,Humi_111
2013-06-30,8.416666667,0.057606982,86.008333,32.375,5.272727273,0.285619075,83.708333,29.375
2013-07-01,8.083333333,0.18357749,84.570833,35.041667,3.916666667,0.110730931,82.25,29.833333
2013-07-02,8.791666667,0.18357749,83.595833,36.291667,5.981818182,0.116822384,80.25,33.958333
2013-07-03,11.87916667,0.18357749,84.558333,44.333333,12.79583333,0.165081141,78.291667,41.583333
2013-07-04,8.5875,0.18357749,81.9,60.666667,7.583333333,0.196118554,72.416667,47.75
2013-07-05,8.166666667,0.177782679,85.086957,52.521739,6.545454545,0.361956098,77.416667,43.217391
2013-07-06,8.333333333,0.070570612,86.495833,45.25,7.208333333,0.196118554,80.875,37.958333
2013-07-07,9.708333333,0.18357749,87.608333,54.083333,8.958333333,0.196118554,81.75,40.333333
2013-07-08,11.95,0.251354165,84.079167,72.666667,12.75,0.196118554,79.416667,56.782609
2013-07-09,9.0125,0.18357749,83.575,71.333333,8.875,0.328840556,77.833333,64.916667
