Datetime,Imputed_PM25_15,Imputed_AOD_15,NDVI_2019_15,CWVDailyMean_2019_15,TempDailyMean_2019_15,RHDailyMean_2019_15,WSDailyMean_2019_15,WDDailyMean_2019_15,PressureDailyMean_2019_15,BLHDailyMean_2019_15
2019-02-09 00:00,83.60227273,0.2215,0.43217757,0.981,286.0126953,67.21614075,3.203729153,301.5575562,993.5767969,377.3647461
2019-02-10 00:00,135.0340909,0.663410763,0.4166,0.536,285.9715576,72.30789185,2.17700696,301.6798401,994.9840625,259.5656128
2019-02-11 00:00,145.9583333,0.663410763,0.394689801,1.119,286.4283142,75.87239075,1.743335724,327.9905396,995.5040625,217.1882019
2019-02-12 00:00,181.5104167,0.663410763,0.36810973,1.5805,288.2235107,76.57067871,1.384728432,326.4615784,995.5417969,221.4677124
2019-02-13 00:00,195.6458333,0.663410763,0.339031895,0.6395,289.9004517,77.45011139,1.432585597,99.44367981,994.6283594,210.7996216
2019-02-14 00:00,170.6145833,0.663410763,0.309628403,0.2585,289.9433899,83.29402161,2.946441174,127.477005,990.3888281,366.1700439
2019-02-15 00:00,119.8958333,0.663410763,0.28207136,1.068,289.4172058,87.08650208,2.120612144,79.14146423,990.6703125,276.951416
2019-02-16 00:00,108.6363636,0.663410763,0.258532874,0.927,288.0941772,85.91288757,2.380839348,314.8395996,991.8994531,258.2775879
2019-02-17 00:00,90.48958333,0.650361667,0.241185052,1.0065,288.1575317,76.87715149,2.815248251,306.0728149,989.2171875,386.2215576
2019-02-18 00:00,97.11458333,0.663410763,0.2322,0.6365,289.0464478,71.91430664,2.723635197,96.3425293,985.1277344,281.7975464
2019-02-19 00:00,127.7708333,0.663410763,0.233014021,0.3115,290.4246216,78.15219116,2.504741669,106.767395,987.6974219,274.1416626
2019-02-20 00:00,84.51041667,0.663410763,0.242120196,0.1465,289.967865,82.03107452,2.951250076,83.89603424,992.4282031,219.0175781
2019-02-21 00:00,69.34375,0.663410763,0.257275802,1.1285,292.7677612,74.61149597,3.106735229,118.3353577,991.2080469,316.0126953
2019-02-22 00:00,63.21875,0.299712077,0.276238117,1.4105,290.815033,74.38386536,3.287792683,317.1903992,991.6539063,515.0167236
2019-02-23 00:00,60.55681818,0.066,0.296764417,1.0155,288.4386597,62.00370789,3.820948124,306.9841309,990.1917188,425.6901855
2019-02-24 00:00,90.88541667,0.249231212,0.31661198,0.917,288.7895508,64.92416382,2.340107918,321.3205566,987.0904688,332.0941162
2019-02-25 00:00,102.9782609,0.665738331,0.333538082,1.374,288.4547119,67.93899536,1.895196676,76.13954926,986.403125,307.6881104
2019-02-26 00:00,54.40909091,0.663410763,0.3453,0.165,288.5923462,75.15594482,3.09379673,130.366684,986.0911719,384.3583374
2019-02-27 00:00,107.5520253,0.663410763,0.350255484,1.197,286.9029541,77.91908264,2.141597509,21.52017212,986.7274219,426.1289368
2019-02-28 00:00,100.5,0.394087409,0.349164175,0.9895,286.3986511,70.0947876,2.378428698,317.9797363,990.5232031,547.7514648
2019-03-01 00:00,87.10869565,0.2715,0.343386186,1.11,287.1786499,68.36413574,2.196712732,327.116394,990.9851563,338.8319702
