Datetime,Imputed_PM25_15
2019-06-16 00:00,36.21875
2019-06-17 00:00,36.19791667
2019-06-18 00:00,107.5520253
2019-06-19 00:00,68.58333333
2019-06-20 00:00,45.73863636
2019-06-21 00:00,84.13541667
2019-06-22 00:00,61.29545455
2019-06-23 00:00,44.35227273
2019-06-24 00:00,28.6875
2019-06-25 00:00,53.84090909
2019-06-26 00:00,67.22619048
2019-06-27 00:00,59.1875
2019-06-28 00:00,62.89583333
2019-06-29 00:00,57.86458333
2019-06-30 00:00,55.59375
2019-07-01 00:00,56.02083333
2019-07-02 00:00,61.65
2019-07-03 00:00,47.13888889
2019-07-04 00:00,38.14583333
2019-07-05 00:00,47.23809524
2019-07-06 00:00,43.31818182
2019-07-07 00:00,45.9375
2019-07-08 00:00,53.92708333
2019-07-09 00:00,45.85416667
2019-07-10 00:00,76.1
2019-07-11 00:00,73.27083333
2019-07-12 00:00,84.52380952
2019-07-13 00:00,107.5520253
2019-07-14 00:00,46.625
2019-07-15 00:00,30.14772727
2019-07-16 00:00,25.76190476
2019-07-17 00:00,25.86363636
2019-07-18 00:00,33.075
2019-07-19 00:00,72.18181818
2019-07-20 00:00,43.54166667
2019-07-21 00:00,50.9375
2019-07-22 00:00,54.5375
2019-07-23 00:00,51.20454545
2019-07-24 00:00,63.125
2019-07-25 00:00,19.5
2019-07-26 00:00,107.5520253
2019-07-27 00:00,107.5520253
2019-07-28 00:00,107.5520253
2019-07-29 00:00,20.01136364
2019-07-30 00:00,25.18181818
2019-07-31 00:00,27.0625
2019-08-01 00:00,107.5520253
2019-08-02 00:00,107.5520253
2019-08-03 00:00,107.5520253
2019-08-04 00:00,35.9047619
2019-08-05 00:00,56.84375
2019-08-06 00:00,107.5520253
2019-08-07 00:00,24.54166667
2019-08-08 00:00,22.72916667
2019-08-09 00:00,107.5520253
2019-08-10 00:00,107.5520253
2019-08-11 00:00,30.42857143
2019-08-12 00:00,23.425
2019-08-13 00:00,23.16666667
2019-08-14 00:00,107.5520253
2019-08-15 00:00,20.25
2019-08-16 00:00,12.27173913
2019-08-17 00:00,107.5520253
2019-08-18 00:00,107.5520253
2019-08-19 00:00,34.38095238
2019-08-20 00:00,34.2173913
2019-08-21 00:00,47.09090909
2019-08-22 00:00,50.82954545
2019-08-23 00:00,53.375
2019-08-24 00:00,54.625
2019-08-25 00:00,107.5520253
2019-08-26 00:00,107.5520253
2019-08-27 00:00,31.3375
2019-08-28 00:00,32.975
2019-08-29 00:00,36.06818182
2019-08-30 00:00,38.63636364
2019-08-31 00:00,54.61363636
2019-09-01 00:00,107.5520253
2019-09-02 00:00,39.52272727
2019-09-03 00:00,73.25
2019-09-04 00:00,58.525
2019-09-05 00:00,29.875
2019-09-06 00:00,107.5520253
2019-09-07 00:00,34.60526316
2019-09-08 00:00,25.91666667
2019-09-09 00:00,52.10869565
2019-09-10 00:00,50.93181818
2019-09-11 00:00,75.5
2019-09-12 00:00,51.22916667
2019-09-13 00:00,32.64583333
2019-09-14 00:00,24.85
2019-09-15 00:00,107.5520253
2019-09-16 00:00,50.64583333
2019-09-17 00:00,54.07954545
2019-09-18 00:00,30.71590909
2019-09-19 00:00,17.52083333
2019-09-20 00:00,38.11956522
2019-09-21 00:00,55.0375
2019-09-22 00:00,27.18055556
2019-09-23 00:00,25.95833333
2019-09-24 00:00,28.72727273
2019-09-25 00:00,30.4
2019-09-26 00:00,22.38888889
2019-09-27 00:00,107.5520253
2019-09-28 00:00,18.7
2019-09-29 00:00,16.5
2019-09-30 00:00,32.13636364
2019-10-01 00:00,42.6
2019-10-02 00:00,43.9125
2019-10-03 00:00,107.5520253
2019-10-04 00:00,39.83333333
2019-10-05 00:00,37.30952381
2019-10-06 00:00,51.23809524
2019-10-07 00:00,45.54545455
2019-10-08 00:00,38.85416667
2019-10-09 00:00,107.5520253
2019-10-10 00:00,110.7608696
2019-10-11 00:00,104.5104167
2019-10-12 00:00,104.4625
2019-10-13 00:00,136.2708333
2019-10-14 00:00,125.8541667
2019-10-15 00:00,139.8541667
2019-10-16 00:00,144.9565217
2019-10-17 00:00,127.8913043
2019-10-18 00:00,109.1111111
2019-10-19 00:00,70.35416667
2019-10-20 00:00,92.1375
2019-10-21 00:00,112.25
2019-10-22 00:00,108.8863636
2019-10-23 00:00,131.4791667
2019-10-24 00:00,175.0208333
2019-10-25 00:00,143.5729167
2019-10-26 00:00,169.9583333
2019-10-27 00:00,198.6875
2019-10-28 00:00,218.5520833
2019-10-29 00:00,302.1875
2019-10-30 00:00,331.75
2019-10-31 00:00,353.7954545
2019-11-01 00:00,356.3541667
2019-11-02 00:00,337.2291667
2019-11-03 00:00,107.5520253
2019-11-04 00:00,336.3541667
2019-11-05 00:00,220.5
2019-11-06 00:00,119.6041667
2019-11-07 00:00,170.84375
2019-11-08 00:00,125.1041667
2019-11-09 00:00,135.9479167
2019-11-10 00:00,187.3068182
2019-11-11 00:00,261.4166667
2019-11-12 00:00,107.5520253
2019-11-13 00:00,363.8541667
2019-11-14 00:00,296.84375
2019-11-15 00:00,107.5520253
2019-11-16 00:00,144.5416667
2019-11-17 00:00,98.77083333
2019-11-18 00:00,127.9375
2019-11-19 00:00,147.125
2019-11-20 00:00,192.78125
2019-11-21 00:00,192.3854167
2019-11-22 00:00,210.5
2019-11-23 00:00,111.9761905
2019-11-24 00:00,83.85416667
2019-11-25 00:00,104.0416667
2019-11-26 00:00,88.08333333
2019-11-27 00:00,46.27083333
2019-11-28 00:00,25.42105263
2019-11-29 00:00,45.13636364
2019-11-30 00:00,86.125
2019-12-01 00:00,107.5520253
2019-12-02 00:00,107.5520253
2019-12-03 00:00,107.5520253
2019-12-04 00:00,209.71875
2019-12-05 00:00,279.0625
2019-12-06 00:00,107.5520253
2019-12-07 00:00,107.5520253
2019-12-08 00:00,268.2395833
2019-12-09 00:00,226.7604167
2019-12-10 00:00,259.4090909
2019-12-11 00:00,338.125
2019-12-12 00:00,291.46875
2019-12-13 00:00,85.72916667
2019-12-14 00:00,59.83333333
2019-12-15 00:00,87.38636364
2019-12-16 00:00,72.84090909
2019-12-17 00:00,109.675
2019-12-18 00:00,127.7727273
2019-12-19 00:00,307.95
2019-12-20 00:00,307.9166667
2019-12-21 00:00,203.2083333
2019-12-22 00:00,128.2727273
2019-12-23 00:00,180.725
2019-12-24 00:00,212.71875
2019-12-25 00:00,120.8695652
2019-12-26 00:00,157.4166667
2019-12-27 00:00,195.8625
2019-12-28 00:00,216.46875
2019-12-29 00:00,245.5729167
2019-12-30 00:00,249.4659091
2019-12-31 00:00,231.3152174
